artist_name,number_of_songs,avg_track_popularity,avg_track_duration,artist_popularity,explicit_songs,artist_labels,explicit_dependency
Penelope Scott,2,63.0,3.79,58,2,"['singer-songwriter', 'female vocalist', 'usa', 'american', 'chiptune']",100.0
Sir Chloe,4,14.0,3.03,58,0,"['indie rock', 'garage rock', 'alternative', 'indie', 'alternative rock']",0.0
GAYLE,2,55.5,2.54,58,1,"['pop', 'usa', 'female vocalists', 'pop rock', 'upcoming album 2022']",50.0
I DONT KNOW HOW BUT THEY FOUND ME,5,43.2,3.09,57,0,"['indie pop', 'synthpop', 'alternative rock', 'indie', 'indie rock']",0.0
IDLES,3,14.67,3.6,57,1,"['post-punk', 'punk', 'noise rock']",33.33
DRAM,2,60.0,3.75,57,2,"['trap', 'rnb', 'hip-hop', 'hip hop', 'pop rap']",100.0
zandros,2,36.0,2.9,57,0,['dark r&b'],0.0
Thom Yorke,5,42.6,4.34,57,1,"['electronic', 'experimental', 'alternative', 'indie', 'singer-songwriter']",20.0
Lonestar,2,57.5,3.78,57,0,['country'],0.0
Alan Silvestri,5,42.8,2.38,57,0,['soundtrack'],0.0
Billie Marten,2,50.5,4.16,57,0,"['indie pop', 'folk', 'british', 'indie', 'singer-songwriter']",0.0
Steve Jablonsky,6,44.17,4.1,57,0,['soundtrack'],0.0
HEALTH,6,32.17,3.89,57,0,"['noise rock', 'industrial', 'witch house', 'industrial rock', 'industrial metal']",0.0
Mimi Webb,2,53.5,2.69,57,0,"['pop', 'british', 'female vocalist', 'electropop', 'my top songs']",0.0
PJ Harvey,5,49.6,3.52,57,0,"['art pop', 'singer-songwriter', 'alternative rock']",0.0
Unlike Pluto,17,35.06,3.06,57,0,"['electronic', 'dubstep', 'all', 'pop', 'usa']",0.0
Randy Houser,2,61.5,3.04,57,0,"['country', 'acoustic country']",0.0
Umur Anil Gokdag,7,48.71,2.07,56,1,,14.29
Marcin Przybyłowicz,10,47.9,2.35,56,0,"['medieval', 'soundtrack']",0.0
Lorne Balfe,5,30.4,2.42,56,0,['soundtrack'],0.0
Brett Eldredge,2,58.5,3.41,56,0,"['country', 'christmas']",0.0
Brian Tyler,11,34.91,3.14,56,0,['soundtrack'],0.0
Borislav Slavov,10,37.5,3.46,56,0,['medieval'],0.0
Harry Gregson-Williams,6,48.5,2.67,56,0,['soundtrack'],0.0
BANKS,2,47.0,3.02,56,2,"['electronic', 'downtempo', 'pop', 'female vocalists', 'indie']",100.0
Chase Rice,2,56.0,3.8,56,1,"['country', 'acoustic country']",50.0
Hiko,2,0.0,3.54,56,0,['nightcore'],0.0
Jo Dee Messina,2,54.5,3.42,56,0,"['country', 'classic country']",0.0
The Veronicas,3,46.0,3.23,55,0,,0.0
Danit,4,40.0,6.38,55,0,"['acoustic', 'latin', 'usa', 'switzerland', 'spiritual']",0.0
Wheeler Walker Jr.,2,52.5,2.8,55,2,"['outlaw country', 'country']",100.0
Elvis Drew,8,54.75,2.95,55,1,['dark r&b'],12.5
Daniel Di Angelo,2,58.0,3.11,55,2,['dark r&b'],100.0
Westside Connection,2,57.5,4.16,55,2,"['west coast hip hop', 'g-funk', 'gangster rap', 'old school hip hop']",100.0
Patrick Doyle,7,41.86,3.9,55,0,['soundtrack'],0.0
Sonic Youth,2,46.5,5.84,55,0,"['noise rock', 'grunge', 'alternative rock', 'post-punk', 'shoegaze']",0.0
Jesper Kyd,4,49.75,4.19,55,0,['soundtrack'],0.0
Hilary Duff,3,42.67,3.47,55,0,"['pop', 'female vocalists', 'dance', 'hilary duff', 'rock']",0.0
Nicholas Hooper,10,33.7,2.68,55,0,['soundtrack'],0.0
SOFIA ISELLA,5,56.8,3.64,55,1,"['experimental', 'female vocalists', 'art pop', 'indie', 'american']",20.0
Sam Fischer,2,63.5,3.25,55,0,"['pop', 'soul', 'australian', 'indie']",0.0
Wafia,2,18.5,3.44,55,0,"['pop', 'soul', 'australian', 'indie pop', 'rnb']",0.0
Sky Ferreira,13,34.38,4.01,54,0,"['pop', 'electropop', 'electronic', 'female vocalists', 'female vocalist']",0.0
Nino Rota,3,51.0,3.19,54,0,,0.0
Hayley Kiyoko,2,47.5,3.32,54,0,"['pop', 'indie', 'indie pop', 'female vocalists', 'alternative']",0.0
Jessica Pratt,2,28.5,2.42,54,0,['ambient folk'],0.0
DNA,2,66.0,3.8,54,0,,0.0
Sugarland,2,44.0,3.85,54,0,['country'],0.0
HRVY,2,57.0,3.06,54,0,"['pop', 'rnb', 'british', 'male vocalists', 'justin bieber']",0.0
Darren Korb,2,38.0,2.84,54,0,['soundtrack'],0.0
Cat Power,2,34.0,4.16,53,0,"['slowcore', 'singer-songwriter']",0.0
Dorothy,2,44.5,3.47,53,0,['southern gothic'],0.0
Aly & AJ,2,48.5,3.34,53,0,"['pop', 'female vocalists', 'pop rock', 'disney', 'rock']",0.0
Henry Jackman,6,27.17,2.41,53,0,['soundtrack'],0.0
Beneld,6,53.67,2.91,53,0,['dark r&b'],0.0
Charlotte Lawrence,3,45.0,3.0,53,1,"['pop', 'indie pop', 'my top songs', 'female vocalists', 'american']",33.33
El Waili,9,22.0,3.39,53,0,"['egyptian hip hop', 'arabic hip hop', 'egyptian pop', 'mahraganat']",0.0
Bedroom,2,62.0,5.38,52,0,"['chillwave', 'ambient', 'lo-fi', 'folk', 'indie']",0.0
Princess Chelsea,2,0.0,4.02,52,0,['baroque pop'],0.0
Scouting For Girls,3,58.33,3.39,52,0,"['indie', 'british', 'indie pop', 'indie rock', 'alternative']",0.0
RIELL,11,37.09,2.91,52,1,"['canadian', 'pop', 'female vocalists', 'canada', 'alt-pop']",9.09
Gareth Coker,2,44.0,1.94,52,0,['soundtrack'],0.0
Trevor Morris,5,27.4,2.36,52,0,"['medieval', 'soundtrack']",0.0
Kevin Penkin,5,28.4,2.56,52,0,"['anime', 'soundtrack']",0.0
Yaima,3,48.33,4.8,52,0,"['downtempo', 'dub', 'didjeridu', 'chillout', 'electronica']",0.0
Nicholas Bonnin,2,60.5,3.88,52,2,['dark r&b'],100.0
BURY,7,46.86,2.75,52,0,['dark r&b'],0.0
Mark Mancina,2,25.5,2.08,52,0,"['soundtrack', 'instrumental', 'composer', 'anime', 'ost']",0.0
Mikolai Stroinski,8,46.5,2.52,52,0,"['medieval', 'soundtrack']",0.0
Yoshihisa Hirano,8,0.0,1.48,51,0,"['anime', 'soundtrack']",0.0
Rosenfeld,3,20.67,2.82,51,0,['dark r&b'],0.0
Johnning,3,36.0,3.17,51,0,,0.0
Manu Pilas,2,61.5,2.13,51,0,"['pop', 'soundtrack', 'italy']",0.0
KRS-One,2,57.0,4.62,51,1,"['east coast hip hop', 'old school hip hop', 'hip hop', 'hardcore hip hop']",50.0
Allie X,2,25.0,3.4,51,0,"['synthpop', 'electropop', 'pop', 'canadian', 'dance-pop']",0.0
Kae,4,21.75,2.77,50,2,['dark r&b'],50.0
Tyler Bates,4,37.5,1.78,50,0,['soundtrack'],0.0
David Arnold,2,19.5,2.5,50,0,['soundtrack'],0.0
Jerry Goldsmith,2,43.0,2.34,50,0,['soundtrack'],0.0
MOTHICA,2,0.0,2.7,50,2,"['pop', 'indie pop', 'indie', 'electropop', 'american']",100.0
Lil God Dan,2,57.5,2.45,50,0,['cloud rap'],0.0
Yutaka Yamada,2,31.5,2.44,50,0,['anime'],0.0
Adam Hicks,2,58.5,3.38,50,0,"['pop', 'rap', 'electronic', 'dance', 'disney']",0.0
Besomage,6,7.67,2.43,50,0,"['deep house', 'house', 'chill house']",0.0
Mychael Danna,2,26.5,2.03,50,0,['soundtrack'],0.0
Jana Diab,2,16.5,2.48,50,2,['egyptian pop'],100.0
Jann,2,58.0,3.28,50,0,"['pop', 'polish', 'poland', 'indie', 'techno']",0.0
daigoro789,2,0.0,2.63,50,0,"['piano', 'soundtrack', 'solo piano', 'instrumental', 'cinematic']",0.0
Terence Blanchard,2,26.5,1.65,49,0,"['jazz', 'latin jazz']",0.0
Son Lux,12,30.58,2.31,49,0,"['electronic', 'experimental', 'trip-hop', 'ambient', 'indie']",0.0
JD & The Straight Chasers,11,47.91,2.96,49,0,,0.0
Todrick Hall,2,0.0,3.39,49,0,"['pop', 'american idol', 'soul', 'rap', 'hip-hop']",0.0
Woody Jackson,6,45.67,4.18,49,0,"['soundtrack', 'acoustic', 'instrumental', 'video game music', 'western']",0.0
Dan Romer,2,48.0,3.26,49,0,['soundtrack'],0.0
JLS,2,0.0,3.26,49,0,"['pop', 'rnb', 'british', 'x factor', 'boyband']",0.0
Ashley Tisdale,2,34.0,2.98,49,0,"['pop', 'female vocalists', 'dance', 'disney', 'ashley tisdale']",0.0
Last Call,4,53.75,2.52,49,0,"['pop punk', 'melodic punk', 'punk rock', 'hardcore', 'melodic hardcore']",0.0
Morphine,2,43.5,2.02,49,0,"['rock', 'alternative rock', 'indie rock', 'jazz rock', 'blues rock', 'saxophone', 'low rock']",0.0
Hiroaki Tsutsumi,2,35.5,4.22,49,0,['anime'],0.0
Sonya Belousova,5,42.4,2.27,49,0,"['soundtrack', 'medieval']",0.0
Piotr Musiał,4,38.25,3.26,49,0,['medieval'],0.0
Sparky Deathcap,2,53.5,3.0,49,0,"['lo-fi', 'folk', 'indie pop', 'experimental', 'alternative folk']",0.0
Flower Face,2,48.5,3.43,49,1,['ambient folk'],50.0
Aaron Tippin,2,47.0,2.96,49,0,"['classic country', 'country', 'traditional country']",0.0
Riff Raff,4,31.75,2.7,48,2,"['hip-hop', 'rap', 'heavy metal', 'progressive rock', 'hard rock']",50.0
Rising Appalachia,2,28.5,6.68,48,0,['southern gothic'],0.0
Percival Schuttenbach,3,45.67,2.23,48,0,"['medieval', 'folk metal']",0.0
CADMIUM,3,36.67,2.65,48,1,"['symphonic metal', 'progressive metal', 'american', 'electronic', 'female fronted metal']",33.33
Paris Hilton,3,27.67,3.36,48,0,"['pop', 'female vocalists', 'dance', 'sexy', 'american']",0.0
Ghostemane,2,31.5,2.62,48,2,"['cloud rap', 'hip-hop', 'horrorcore', 'rap', 'trap metal']",100.0
Stelvio Cipriani,2,30.0,3.0,48,0,"['composers', 'film music', 'motion picture music']",0.0
Steven Price,2,26.0,2.72,48,0,['soundtrack'],0.0
October Surprise,2,54.5,2.23,48,0,,0.0
Mandrazo,3,44.33,3.02,48,0,,0.0
MEG MYERS,2,36.0,4.06,48,1,"['indie rock', 'indie pop', 'female vocalists', 'rock', 'singer-songwriter']",50.0
Rumelis,12,43.17,2.41,48,11,['dark r&b'],91.67
Carlos Rafael Rivera,4,9.75,1.64,48,0,"['soundtrack', 'composer', 'usa', 'classical', 'liszaj radio']",0.0
Austin Wintory,3,31.0,2.72,48,0,['soundtrack'],0.0
MUSASHI PROJECT,3,52.33,3.01,48,0,['anime'],0.0
GRLwood,2,0.0,2.97,48,1,"['riot grrrl', 'queercore']",50.0
Tinariwen,2,47.0,4.69,47,0,['gnawa'],0.0
John Paesano,4,45.0,2.56,47,0,['soundtrack'],0.0
Daniel Lanois,8,45.38,3.52,47,0,"['singer-songwriter', 'folk', 'canadian', 'alternative', 'experimental']",0.0
BRAN,2,1.0,1.74,47,0,"['afro house', 'slap house']",0.0
Rhiannon Giddens,2,52.5,3.34,47,0,"['folk', 'americana', 'southern gothic', 'bluegrass']",0.0
Sarah Schachner,2,23.5,2.84,47,0,['soundtrack'],0.0
Revline,12,48.08,2.69,47,0,['country'],0.0
A!MS,2,49.5,2.45,47,1,"['rap', 'hip hop', 'cypriot', 'united kingdom', 'cyprus']",50.0
Rodrigo y Gabriela,2,19.5,5.67,47,0,"['acoustic', 'instrumental', 'guitar', 'flamenco', 'latin']",0.0
Sugar Jesus,2,49.5,2.8,47,0,"['electronic', 'electropop', 'dance', 'electro', 'pop']",0.0
Marc Streitenfeld,3,13.67,1.71,47,0,['soundtrack'],0.0
Valve Studio Orchestra,3,0.0,1.2,46,0,"['soundtrack', 'valve', 'orchestral', 'tf2', 'gaming music']",0.0
Minzie,2,25.0,2.6,46,0,['dark r&b'],0.0
M|O|O|N,3,54.33,4.89,46,0,"['synthwave', 'vaporwave']",0.0
Hildur Guðnadóttir,4,40.0,2.8,46,0,"['drone', 'neoclassical']",0.0
Zummer,2,52.0,2.32,46,0,['happy hardcore'],0.0
Alaina Castillo,2,38.0,3.64,46,0,"['pop', 'rnb', 'female vocalists', 'latin', 'united states']",0.0
A2O,4,35.0,3.33,46,0,['c-pop'],0.0
Kevin Kiner,3,34.0,1.56,45,0,['soundtrack'],0.0
Link Wray,2,31.5,2.39,45,0,"['surf rock', 'rockabilly', 'proto-punk', 'native american music', 'psychobilly']",0.0
lilster,2,0.0,3.37,45,0,['jersey club'],0.0
K!llx,2,47.5,2.53,45,1,,50.0
Carlie Hanson,2,46.0,2.68,45,1,"['pop', 'alternative', 'indie pop', 'usa', 'female vocalists']",50.0
Natalie Holt,3,40.0,2.48,45,0,['soundtrack'],0.0
Alexandra Savior,2,0.0,2.95,45,0,"['indie pop', 'singer-songwriter', 'indie', 'indie rock', 'female vocalists']",0.0
Geoff Zanelli,3,32.0,3.08,45,0,"['soundtrack', 'composers', 'classical', 'instrumental', 'film music']",0.0
Hanno,2,53.5,2.51,45,0,,0.0
Ana Shine,4,50.25,2.9,45,0,"['latin ballad', 'spanish', 'española']",0.0
carwash,2,0.0,2.54,44,2,"['indie', 'dream pop', 'lo-fi', 'usa', 'california']",100.0
Neal Acree,2,0.5,5.94,44,0,"['soundtrack', 'video game music', 'instrumental', 'world of warcraft', 'score']",0.0
Okay Kaya,2,29.5,2.16,43,2,['art pop'],100.0
Jesse®,9,29.78,3.06,43,2,"['indie', 'pop', 'alternative', 'hip hop', 'jesse rutherford']",22.22
Now O Later,3,21.67,2.58,43,0,['hypertechno'],0.0
Pawel Blaszczak,2,43.5,3.15,43,0,['medieval'],0.0
Jeremy Zuckerman,12,32.0,2.08,43,0,"['soundtrack', 'instrumental', 'composer', 'experimental', 'american']",0.0
midnight Berlin,10,41.4,2.08,42,0,['hypertechno'],0.0
Jeff Russo,5,24.6,3.07,42,0,['soundtrack'],0.0
Einar Selvik,2,43.5,5.09,42,0,"['medieval', 'celtic']",0.0
Heitor Pereira,2,27.5,2.15,42,0,"['soundtrack', 'composer', 'brazilian', 'contemporary classical', 'film score']",0.0
Adam Skorupa,3,36.67,3.24,42,0,['medieval'],0.0
Trevor Rabin,2,43.0,3.35,42,0,['soundtrack'],0.0
Pinar Toprak,7,23.29,2.32,42,0,['soundtrack'],0.0
Helena Deland,2,39.0,4.54,42,0,"['folk', 'singer-songwriter', 'canadian', 'indie', 'indie pop']",0.0
Bill Brown,6,34.67,2.18,41,0,['medieval'],0.0
chuck e. myers 'sea',2,39.0,3.04,41,0,"['composer', 'soundtrack', 'game', 'video game music', 'vgm']",0.0
Ericovich,12,31.58,2.08,41,1,['nightcore'],8.33
Daniel Licht,2,20.0,3.99,41,0,"['soundtrack', 'instrumental', 'ambient', 'composer', 'dexter']",0.0
Nic Dean,4,39.25,2.3,41,1,['dark r&b'],25.0
Atli Örvarsson,2,7.0,3.34,41,0,"['soundtrack', 'composer', 'score', 'film music', 'movie score composers']",0.0
Emilio,3,34.33,2.42,41,0,['hypertechno'],0.0
Emily Osment,2,41.0,2.66,41,0,"['pop', 'female vocalists', 'disney', 'pop rock', 'emily osment']",0.0
ILURO,7,25.86,2.61,41,0,,0.0
藤澤慶昌,2,21.0,2.26,40,0,['anime'],0.0
Kelsey Lu,12,29.58,4.26,40,0,"['alternative r&b', 'art pop']",0.0
Christopher Lennertz,3,28.33,2.16,40,0,"['soundtrack', 'instrumental', 'composer', 'video game music', 'classical']",0.0
Elephant Revival,3,41.33,3.71,40,0,"['bluegrass', 'newgrass', 'folk', 'indie folk']",0.0
Valentin,3,41.0,3.76,40,1,"['acoustic', 'japanese', 'instrumental hip-hop', 'alternative', 'brazilian']",33.33
Cliff Martinez,3,37.67,1.72,40,0,['soundtrack'],0.0
Bruklin,2,44.5,2.86,40,0,"['rock', 'pop', 'polish', 'poland', 'piotr krasko w swojej mazurskiej posiadlosci']",0.0
Foxilitus,2,44.5,1.94,40,0,['electronic'],0.0
League Minimum,3,39.67,2.46,40,0,"['electronic', 'synthpop', 'pop', 'british', 'new wave', 'uk', 'synth-pop', 'new romantic', 'english', 'england', 'sheffield', 'rock and indie', 'minimal synth', 'synthie/electro-pop']",0.0
Shanin Blake,2,0.0,3.38,40,0,"['booba', 'pop', 'chill', 'singer-songwriter', 'relaxation']",0.0
Jacob Tillberg,4,36.75,3.16,39,0,"['sweden', 'electro', 'hardstyle']",0.0
Anna Calvi,3,31.67,3.98,39,0,"['female vocalists', 'indie', 'alternative', 'singer-songwriter', 'british']",0.0
The Space Ocean,2,0.0,3.59,39,0,"['indie', 'rock', 'lo-fi', 'indie rock', 'sun and moon and stars and outer space']",0.0
加藤達也,3,26.0,2.73,39,0,"['anime', 'soundtrack']",0.0
Rob Grant,2,47.0,3.68,39,0,"['piano', 'jazz', 'instrumental', 'ambient', 'lana del rey']",0.0
Hurricane on Saturn,6,29.5,3.78,39,3,"['rap metal', 'rap rock']",50.0
Bill Elm,5,39.4,4.26,39,0,"['instrumental', 'soundtrack', 'composer', 'usa', 'video game']",0.0
Savant,2,22.0,7.16,38,2,"['dubstep', 'drumstep']",100.0
Jordana Bryant,2,41.5,2.52,38,0,"['pop', 'country', 'uk']",0.0
Robin Carolan,5,30.4,1.38,38,0,"['soundtrack', 'score', 'british', 'folk', 'orchestral']",0.0
CADDY,5,40.8,3.09,38,1,"['powerpop', 'power pop', 'norwegian', 'one-man band', 'norwegian powerpop']",20.0
Jim Sturgess,4,33.25,2.1,38,0,"['soundtrack', 'british', 'across the universe', 'musical', 'rock']",0.0
toon,4,28.25,1.19,37,0,['cabaret'],0.0
David García Díaz,2,33.5,3.48,37,0,"['piano', 'spain', 'modern classical', 'classical', 'spanish']",0.0
Sophie Thatcher,2,31.0,3.72,37,0,"['dream pop', 'chamber pop', 'sophisti-pop', 'art pop', 'pop']",0.0
Sandra Iris,2,41.0,2.42,37,0,"['indie pop', 'female vocalists', '4', 'spotify']",0.0
Greg Edmonson,2,21.0,1.82,37,0,['soundtrack'],0.0
Dreyma,3,33.67,2.7,37,0,"['ambient', 'swedish', 'post-rock', 'instrumental', 'new age']",0.0
MarchY,3,47.0,2.74,37,0,,0.0
Tenseoh,2,0.0,2.9,37,0,['lithuania'],0.0
Geneburn,2,36.0,4.74,36,0,"['soundtrack', 'industrial', 'ambient', 'metal', 'instrumental']",0.0
davvn,2,43.0,3.12,36,1,"['electronic', 'indie', 'dreamy', 'chill', 'chillwave']",50.0
Scoobert Doobert,2,46.0,3.0,36,0,"['alternative', 'indie rock', 'lo-fi', 'rock', 'indie']",0.0
009 Sound System,2,34.5,5.62,36,0,"['trance', 'electronic', 'dance', 'pop', 'sexy']",0.0
Xander Ward,5,41.0,3.21,35,0,"['downtempo', 'instrumental', 'hip hop', 'lo-fi', 'boom bap', 'chillwave', 'instrumental hip hop', 'lo-fi hip hop']",0.0
Chelan,2,40.5,2.41,35,1,"['electronic', 'ambient', 'usa', 'indie pop', 'san francisco']",50.0
Teddy,2,26.5,3.3,35,2,['emo rap'],100.0
Beyond The Guitar,6,0.0,2.59,35,0,"['video game music', 'guitar', 'usa']",0.0
Jordan Parker,2,37.0,3.43,34,0,,0.0
GOVAN,4,37.75,2.63,34,1,"['rock', 'instrumental', 'jazz rock', 'jazz fusion']",25.0
Anna Marx,3,38.0,2.39,34,0,,0.0
The Relentless,2,0.0,3.72,34,0,,0.0
King Gizzard & The Lizard Wizard,3,10.67,6.11,34,0,"['neo-psychedelic', 'psychedelic rock']",0.0
Chance Thomas,2,31.5,2.76,34,0,['medieval'],0.0
Lil Q,2,46.5,2.6,33,2,,100.0
Dana Fuchs,3,28.0,2.5,33,0,"['female vocalists', 'soundtrack', 'classic rock', 'across the universe', 'musical']",0.0
Will Roush,3,41.67,3.08,33,0,"['rap', 'hip hop', 'hip-hop', 'american', 'us']",0.0
Joe Anderson,2,40.0,3.44,33,0,"['soundtrack', 'across the universe', 'musical', 'classic rock', 'beatles']",0.0
Nck,2,44.5,2.22,32,0,"['rap', 'house', 'hip-hop', 'gangsta rap', 'deep house']",0.0
IAN SIZE,4,32.5,2.47,32,2,"['melodic bass', 'nightcore', 'bass music']",50.0
AZERDK,2,31.5,4.06,30,1,,50.0
Sopperior,4,25.5,1.77,30,0,['indie'],0.0
I Hear Sirens,3,29.33,4.85,30,0,['post-rock'],0.0
Gary O'Slide,10,20.0,2.46,30,0,['southern gothic'],0.0
BONZIE,2,34.5,3.52,30,0,"['indie', 'singer-songwriter', 'indie pop', 'indie rock', 'listened']",0.0
weeklyn,3,21.33,2.42,30,1,['emo rap'],33.33
Christine Slagman,2,26.5,2.94,28,0,['video game music'],0.0
Laci Kay Somers,3,33.0,3.75,28,2,"['pop', 'female vocalist', 'electronic', 'dance', 'britney spears']",66.67
Jamie Christopherson,2,16.0,2.27,28,0,"['soundtrack', 'video game music', 'composer', 'all', 'video game']",0.0
Kenzo Cregan,2,39.5,3.17,27,0,"['american', 'usa']",0.0
Jesse Hopkins,4,27.0,1.92,27,0,['medieval'],0.0
Entheogenic,2,9.5,7.92,27,0,"['downtempo', 'ambient', 'psytrance']",0.0
Cabuizee,2,23.0,2.22,25,0,['electro house'],0.0
NEVE,2,28.0,2.55,25,0,"['alternative rock', 'rock', 'alternative', '90s', '90s alternative']",0.0
Munboi,2,34.0,2.35,24,0,,0.0
YGF DEVO,3,34.0,3.23,24,3,"['rock', 'electronic', 'synthpop', 'punk', 'american', 'punk rock', 'post-punk', 'new wave', 'synth-pop', 'experimental rock', 'electropunk', 'geek rock', 'art punk', 'nerd rock', 'classic pop and rock', 'proto-punk', 'electronic rock', 'zolo', 'synth-punk', 'weird america']",100.0
LEROCQUE,2,32.5,2.75,23,0,"['lerocque', 'music', 'alternative', 'vox', 'singer', 'vocals', 'rock', 'pop', 'sing', 'band']",0.0
Project North,2,19.0,3.06,23,0,['uk grime'],0.0
Shelita,2,32.5,3.58,23,0,"['pop', 'r and b', 'brazilian funk', 'electro pop', 'future bass']",0.0
Fransii,2,21.5,2.42,21,0,['nightcore'],0.0
Elliot,2,25.5,3.05,20,2,"['indie', 'rock', 'britpop', 'pop', 'danish']",100.0
NO FEELS,2,25.5,2.63,19,0,['deep house'],0.0
Peter Nashel,2,27.5,2.13,18,0,['medieval'],0.0
Allison Amber Hage,3,25.0,2.79,18,0,,0.0
Joe Henson,2,24.0,3.32,17,0,['sea shanties'],0.0
Precedence,2,30.0,3.66,17,2,,100.0
shotty,2,20.0,3.78,11,0,"['rock', 'grunge', 'psychedelic', 'alt rock', 'hip hop']",0.0
DJ Khamel,7,8.86,2.72,8,0,,0.0
MARA,2,16.0,3.99,8,0,"['black metal', 'dark ambient', 'depressive black metal', 'drone', 'hardcore']",0.0
Reginaldo de Oliveira,2,15.0,4.18,5,0,,0.0
MONYQ,2,13.5,5.07,4,0,,0.0
Daya Blaze,5,3.8,3.42,2,1,"['synthpop', 'pop', 'electropop', '2010s', 'gen z']",20.0
Jeremiah Sand,2,4.5,6.52,2,0,"['psychedelic folk', 'psychedelic', 'fictional artist', 'folk', 'neofolk']",0.0
Bill Elm & Woody Jackson,3,0.0,3.64,0,0,,0.0
David Arnold & Michael Price,2,0.0,2.18,0,0,"['soundtrack', 'british', 'instrumental', 'classical', 'sherlock']",0.0
